id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,v_score_text,in_custody,out_custody,two_year_recid
22,Male,25,25 - 45,African-American,0,10,0,0,3,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,High,Risk of Violence,9,High,3/30/15,5/31/15,0
23,Male,31,25 - 45,Caucasian,0,5,0,0,6,F,Driving While License Revoked,1,1,Risk of Recidivism,Medium,Risk of Violence,4,Low,11/16/13,11/17/13,1
24,Male,31,25 - 45,Caucasian,0,3,0,0,5,F,Possession Of Heroin,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/16/16,3/18/16,1
25,Male,64,Greater than 45,African-American,0,6,0,0,13,F,arrest case no charge,1,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,5/3/14,5/4/14,1
26,Male,21,Less than 25,African-American,0,9,0,0,1,F,Battery on Law Enforc Officer,1,0,Risk of Recidivism,High,Risk of Violence,9,High,5/18/13,5/19/13,1
27,Male,27,25 - 45,Caucasian,0,2,0,0,0,M,Possession Of Methamphetamine,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,10/16/14,10/16/14,1
28,Female,21,Less than 25,Caucasian,0,4,0,0,0,F,Introduce Contraband Into Jail,0,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,11/20/13,11/21/13,0
30,Male,24,Less than 25,Hispanic,0,4,0,0,1,F,Lewd/Lasc Battery Pers 12+/<16,1,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,2/8/13,2/9/13,1
32,Male,43,25 - 45,Caucasian,0,1,0,0,1,M,Susp Drivers Lic 1st Offense,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,1/24/13,1/25/13,0
33,Male,32,25 - 45,Other,0,3,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,5/10/13,5/12/13,0
37,Male,27,25 - 45,African-American,0,3,0,0,8,F,Carrying Concealed Firearm,1,1,Risk of Recidivism,Low,Risk of Violence,3,Low,8/30/13,8/31/13,1
38,Female,36,25 - 45,Caucasian,0,3,0,0,3,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,5/10/13,5/11/13,0
39,Male,26,25 - 45,African-American,0,7,0,1,5,F,Pos Cannabis W/Intent Sel/Del,1,0,Risk of Recidivism,Medium,Risk of Violence,7,Medium,3/18/14,3/26/14,1
40,Male,33,25 - 45,African-American,0,10,0,0,0,F,Tampering With Physical Evidence,1,1,Risk of Recidivism,High,Risk of Violence,6,Medium,5/27/15,6/17/15,1
41,Male,30,25 - 45,Caucasian,0,9,0,0,9,F,Felony Battery w/Prior Convict,1,0,Risk of Recidivism,High,Risk of Violence,10,High,7/9/13,7/10/13,1
42,Male,32,25 - 45,African-American,0,8,0,0,4,F,Att Tamper w/Physical Evidence,1,0,Risk of Recidivism,High,Risk of Violence,3,Low,11/22/14,11/24/14,1
45,Male,55,Greater than 45,Caucasian,0,1,0,0,0,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,12/29/13,12/31/13,0
50,Male,49,Greater than 45,Other,0,3,0,0,7,F,Agg Fleeing and Eluding,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,8/19/14,8/20/14,1
51,Male,26,25 - 45,Caucasian,0,8,0,2,6,M,Operating W/O Valid License,0,0,Risk of Recidivism,High,Risk of Violence,8,High,6/29/13,7/11/13,0
52,Female,33,25 - 45,Caucasian,0,5,0,0,4,M,Battery,1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,12/2/13,12/13/13,1
53,Male,24,Less than 25,Caucasian,0,2,0,0,1,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,5/13/14,5/16/14,1
54,Male,34,25 - 45,African-American,2,9,1,3,21,F,Poss Wep Conv Felon,1,0,Risk of Recidivism,High,Risk of Violence,6,Medium,6/9/14,12/4/14,1
55,Male,29,25 - 45,Caucasian,0,2,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,1/16/13,1/16/13,0
56,Female,21,Less than 25,African-American,0,8,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,High,Risk of Violence,8,High,1/30/15,1/31/15,0
57,Male,51,Greater than 45,African-American,0,1,0,0,2,M,Unlaw Use False Name/Identity,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/27/13,2/28/13,0
59,Male,29,25 - 45,Caucasian,0,2,0,0,2,M,Viol Injunct Domestic Violence,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,6/17/14,6/18/14,1
61,Female,51,Greater than 45,African-American,0,2,0,0,7,F,Possession of Cocaine,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,7/28/14,8/5/14,0
64,Male,29,25 - 45,African-American,0,7,0,0,0,F,Defrauding Innkeeper $300/More,1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,9/4/14,10/2/14,1
66,Male,25,25 - 45,Caucasian,0,10,0,0,9,M,Battery,1,1,Risk of Recidivism,High,Risk of Violence,9,High,4/5/14,4/14/14,1
67,Male,35,25 - 45,African-American,1,8,0,4,13,F,Uttering a Forged Instrument,1,1,Risk of Recidivism,High,Risk of Violence,3,Low,5/28/14,5/29/14,1
68,Male,49,Greater than 45,Caucasian,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,8/2/13,8/2/13,0
69,Male,34,25 - 45,African-American,0,3,0,0,4,M,Driving License Suspended,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,10/28/14,12/18/14,1
70,Male,29,25 - 45,African-American,0,4,0,0,0,F,Tampering With Physical Evidence,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,4/24/13,4/24/13,0
71,Male,29,25 - 45,Caucasian,0,2,0,0,1,F,Possession of Oxycodone,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,8/18/14,8/18/14,1
72,Female,28,25 - 45,Other,0,2,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,11/17/13,11/18/13,0
75,Male,48,Greater than 45,Caucasian,0,6,0,0,20,F,arrest case no charge,1,0,Risk of Recidivism,Medium,Risk of Violence,4,Low,9/9/14,1/1/20,1
77,Female,63,Greater than 45,Hispanic,0,1,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,6/17/13,6/25/13,0
79,Male,31,25 - 45,African-American,0,5,0,1,15,F,Attempt Armed Burglary Dwell,1,0,Risk of Recidivism,Medium,Risk of Violence,7,Medium,3/17/13,7/31/13,0
80,Male,24,Less than 25,African-American,0,4,0,0,2,F,Poss Tetrahydrocannabinols,1,0,Risk of Recidivism,Low,Risk of Violence,4,Low,9/17/13,9/19/13,1
83,Male,30,25 - 45,Hispanic,0,7,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,1/20/13,2/12/13,0
84,Male,49,Greater than 45,African-American,0,1,0,0,4,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,8/26/13,8/27/13,0
85,Male,53,Greater than 45,Caucasian,0,5,0,0,8,F,arrest case no charge,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,5/15/13,5/28/13,0
87,Male,35,25 - 45,African-American,0,3,0,0,5,F,Driving While License Revoked,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/10/13,2/11/13,0
88,Male,63,Greater than 45,African-American,0,7,0,0,10,M,Possess Drug Paraphernalia,1,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,5/3/13,6/8/13,1
90,Male,27,25 - 45,African-American,1,10,1,2,15,F,Driving While License Revoked,1,0,Risk of Recidivism,High,Risk of Violence,9,High,10/13/14,10/18/14,1
91,Male,38,25 - 45,Caucasian,0,2,0,0,4,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/3/13,2/5/13,1
93,Male,22,Less than 25,African-American,0,4,0,1,1,F,Poss Firearm W/Altered ID#,1,0,Risk of Recidivism,Low,Risk of Violence,6,Medium,11/15/13,11/16/13,1
95,Male,22,Less than 25,African-American,0,10,1,2,2,F,Sell Conterfeit Cont Substance,1,0,Risk of Recidivism,High,Risk of Violence,9,High,5/23/13,9/24/13,1
96,Male,29,25 - 45,African-American,0,9,0,0,4,F,arrest case no charge,1,0,Risk of Recidivism,High,Risk of Violence,5,Medium,4/5/13,7/12/13,1
97,Male,62,Greater than 45,Hispanic,0,1,0,0,0,M,Unlaw LicTag/Sticker Attach,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,1/8/13,1/8/13,0
98,Male,27,25 - 45,African-American,0,6,1,0,6,F,Aggravated Battery / Pregnant,1,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,11/9/14,11/10/14,1
99,Male,33,25 - 45,Other,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/8/14,3/9/14,0
100,Female,56,Greater than 45,African-American,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,9/28/13,10/1/13,0
101,Male,45,Greater than 45,Hispanic,0,1,0,0,6,F,Possession of Cocaine,1,1,Risk of Recidivism,Low,Risk of Violence,1,Low,1/12/13,9/11/13,1
102,Male,22,Less than 25,Hispanic,0,4,0,0,1,F,Burglary Structure Unoccup,0,0,Risk of Recidivism,Low,Risk of Violence,6,Medium,5/24/13,5/25/13,0
105,Male,39,25 - 45,African-American,0,4,0,0,1,M,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,3/6/13,3/11/13,0
107,Male,29,25 - 45,African-American,0,6,0,0,5,F,False Name By Person Arrest,1,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,9/17/13,9/18/13,1
108,Male,27,25 - 45,Caucasian,0,6,0,1,1,F,arrest case no charge,1,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,9/2/15,10/30/15,1
111,Male,40,25 - 45,African-American,0,2,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,7/2/13,7/5/13,0
113,Male,22,Less than 25,African-American,0,3,0,0,1,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,5/8/14,5/29/14,1
114,Male,22,Less than 25,Caucasian,0,8,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,High,Risk of Violence,6,Medium,5/3/13,5/24/13,0
115,Female,26,25 - 45,African-American,0,4,0,0,1,F,Poss Cocaine/Intent To Del/Sel,1,1,Risk of Recidivism,Low,Risk of Violence,3,Low,11/19/13,1/16/14,1
116,Male,27,25 - 45,Caucasian,0,7,0,0,1,F,Burglary Dwelling Assault/Batt,1,1,Risk of Recidivism,Medium,Risk of Violence,8,High,6/29/15,11/13/15,1
119,Male,32,25 - 45,African-American,0,2,0,0,0,F,Felony Battery (Dom Strang),0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/3/13,3/4/13,0
120,Male,41,25 - 45,African-American,0,2,0,0,1,M,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/27/13,3/1/13,0
122,Male,30,25 - 45,African-American,0,10,0,0,8,M,Possess Cannabis/20 Grams Or Less,1,1,Risk of Recidivism,High,Risk of Violence,9,High,4/17/13,4/18/13,1
127,Male,50,Greater than 45,Other,0,1,0,0,0,F,arrest case no charge,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,6/20/15,6/22/15,1
128,Male,25,25 - 45,African-American,1,10,6,1,14,F,arrest case no charge,1,1,Risk of Recidivism,High,Risk of Violence,10,High,7/29/13,8/17/13,1
130,Male,20,Less than 25,Other,0,5,0,0,0,F,Tampering With Physical Evidence,1,1,Risk of Recidivism,Medium,Risk of Violence,8,High,1/30/14,3/29/15,1
131,Male,22,Less than 25,African-American,1,9,0,0,2,F,Attempted Burg/struct/unocc,1,0,Risk of Recidivism,High,Risk of Violence,10,High,1/16/14,2/15/14,1
132,Male,23,Less than 25,African-American,0,7,0,1,2,M,arrest case no charge,1,0,Risk of Recidivism,Medium,Risk of Violence,8,High,8/1/14,8/2/14,1
136,Female,35,25 - 45,African-American,0,2,0,0,1,M,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,3/29/13,3/30/13,0
137,Male,36,25 - 45,African-American,0,7,0,0,9,F,Deliver Cocaine,1,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,4/29/14,5/3/14,1
138,Male,26,25 - 45,Caucasian,0,8,0,0,7,F,Possession Burglary Tools,1,0,Risk of Recidivism,High,Risk of Violence,4,Low,3/27/14,4/6/14,1
139,Male,21,Less than 25,Other,0,6,0,0,1,F,Grand Theft in the 3rd Degree,1,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,12/29/13,4/6/14,1
142,Male,25,25 - 45,Caucasian,0,8,0,0,9,F,Pos Cannabis W/Intent Sel/Del,1,1,Risk of Recidivism,High,Risk of Violence,9,High,7/17/15,7/19/15,1
143,Male,71,Greater than 45,African-American,0,7,0,0,12,M,Possess Cannabis/20 Grams Or Less,0,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,,,0
145,Female,20,Less than 25,Caucasian,0,7,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,0,Risk of Recidivism,Medium,Risk of Violence,8,High,11/13/13,11/14/13,0
146,Male,39,25 - 45,Caucasian,0,1,0,0,2,F,Possession Of Alprazolam,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/17/13,5/9/13,1
147,Male,66,Greater than 45,Caucasian,0,1,0,0,3,F,Flee/Elude LEO-Agg Flee Unsafe,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,9/3/13,10/3/13,0
148,Female,54,Greater than 45,Caucasian,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/15/13,4/15/13,0
150,Female,44,25 - 45,Hispanic,0,1,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,8/18/13,8/19/13,0
151,Male,19,Less than 25,African-American,0,4,0,0,1,M,Battery,1,1,Risk of Recidivism,Low,Risk of Violence,7,Medium,2/26/15,3/4/15,1
152,Male,24,Less than 25,African-American,0,2,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,7/16/15,7/16/15,0
153,Male,30,25 - 45,African-American,0,2,0,0,1,F,Fail To Redeliv Hire/Leas Prop,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,9/8/13,9/9/13,0
154,Female,39,25 - 45,Caucasian,0,1,0,0,0,F,Aggravated Assault W/Dead Weap,1,1,Risk of Recidivism,Low,Risk of Violence,1,Low,9/4/13,9/6/13,1
156,Male,24,Less than 25,Caucasian,0,6,1,2,8,F,False Ownership Info/Pawn Item,1,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,4/10/13,4/22/13,1
157,Male,30,25 - 45,Caucasian,0,4,0,0,0,F,Possession Of Methamphetamine,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,1/8/15,2/4/15,0
158,Male,31,25 - 45,Caucasian,0,5,0,0,0,M,Battery,0,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,2/20/14,3/31/14,0
159,Female,39,25 - 45,Caucasian,0,4,0,0,1,F,Possession of Morphine,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,3/25/14,3/30/14,0
160,Male,59,Greater than 45,African-American,0,9,0,0,14,F,arrest case no charge,1,1,Risk of Recidivism,High,Risk of Violence,4,Low,5/31/15,9/18/15,1
163,Male,43,25 - 45,Caucasian,0,1,0,0,1,F,Possession of Cocaine,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,7/16/13,7/17/13,0
166,Male,21,Less than 25,African-American,0,9,0,0,3,F,Grand Theft in the 3rd Degree,1,0,Risk of Recidivism,High,Risk of Violence,6,Medium,3/26/13,1/22/14,1
169,Male,38,25 - 45,Caucasian,0,4,0,0,5,M,Possess Cannabis/20 Grams Or Less,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,3/12/13,3/13/13,1
171,Male,34,25 - 45,Caucasian,0,5,0,0,0,F,Aggravated Assault w/Firearm,0,0,Risk of Recidivism,Medium,Risk of Violence,5,Medium,5/2/14,7/10/14,0
173,Male,33,25 - 45,African-American,0,5,0,0,5,F,Poss Contr Subst W/o Prescript,1,0,Risk of Recidivism,Medium,Risk of Violence,2,Low,11/17/13,11/17/13,1
174,Male,37,25 - 45,African-American,0,2,0,0,3,F,"Poss3,4 Methylenedioxymethcath",0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/28/14,3/7/14,0
175,Male,42,25 - 45,Caucasian,0,2,0,0,1,F,Aggrav Stalking After Injunctn,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,3/16/13,3/17/13,1
176,Male,41,25 - 45,African-American,0,9,1,0,10,F,Possession of Cocaine,1,0,Risk of Recidivism,High,Risk of Violence,7,Medium,6/18/14,7/29/14,1
177,Male,22,Less than 25,African-American,0,4,0,0,0,F,Uttering a Forged Instrument,1,0,Risk of Recidivism,Low,Risk of Violence,7,Medium,12/9/15,12/9/15,1
178,Male,33,25 - 45,African-American,0,8,12,2,28,F,Driving While License Revoked,1,0,Risk of Recidivism,High,Risk of Violence,5,Medium,4/4/14,4/5/14,1
180,Male,31,25 - 45,African-American,0,7,0,0,1,M,Battery,0,0,Risk of Recidivism,Medium,Risk of Violence,8,High,10/13/13,10/14/13,0
182,Female,30,25 - 45,Other,0,2,0,0,1,F,Crim Use of Personal ID Info,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,2/3/14,2/11/14,0
183,Male,31,25 - 45,Caucasian,0,10,0,0,13,F,arrest case no charge,1,1,Risk of Recidivism,High,Risk of Violence,7,Medium,2/25/13,6/11/14,1
184,Male,27,25 - 45,African-American,0,9,0,0,3,F,Possession of Cocaine,1,0,Risk of Recidivism,High,Risk of Violence,4,Low,11/14/14,11/15/14,1
187,Male,56,Greater than 45,African-American,0,9,0,0,8,F,arrest case no charge,0,0,Risk of Recidivism,High,Risk of Violence,3,Low,2/11/14,5/2/14,0
189,Male,52,Greater than 45,Caucasian,0,9,0,0,3,M,Battery,0,0,Risk of Recidivism,High,Risk of Violence,6,Medium,7/27/13,7/28/13,0
190,Male,33,25 - 45,African-American,0,10,0,0,19,F,arrest case no charge,1,0,Risk of Recidivism,High,Risk of Violence,7,Medium,8/8/14,9/9/14,1
192,Female,64,Greater than 45,Caucasian,0,1,0,0,2,M,Resist/Obstruct W/O Violence,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/12/14,2/12/14,0
193,Male,22,Less than 25,Caucasian,0,6,0,0,4,F,Possession Of Alprazolam,1,0,Risk of Recidivism,Medium,Risk of Violence,8,High,12/29/14,1/17/15,1
194,Male,42,25 - 45,Caucasian,0,3,0,0,6,F,Possession Of Alprazolam,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,10/30/14,1/24/15,0
195,Female,25,25 - 45,Caucasian,0,4,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,5,Medium,12/17/14,1/7/15,0
197,Male,30,25 - 45,Caucasian,0,2,0,0,1,M,Agg Fleeing and Eluding,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,10/30/13,11/3/13,0
199,Male,28,25 - 45,Caucasian,0,1,0,0,2,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,2,Low,,,0
200,Female,37,25 - 45,Other,0,2,0,0,2,M,Petit Theft,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,12/29/13,12/31/13,0
202,Male,28,25 - 45,Caucasian,0,2,0,0,0,M,Disorderly Intoxication,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,2/17/15,2/17/15,1
203,Female,24,Less than 25,African-American,0,2,0,0,0,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,2/6/14,2/8/14,0
206,Female,29,25 - 45,Caucasian,0,4,1,0,10,F,Grand Theft in the 3rd Degree,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,12/29/14,2/5/15,1
208,Male,44,25 - 45,Caucasian,0,2,0,0,2,M,Battery,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,1/27/14,1/27/14,1
209,Female,30,25 - 45,Hispanic,0,5,0,0,4,F,Battery on Law Enforc Officer,1,1,Risk of Recidivism,Medium,Risk of Violence,5,Medium,4/10/15,12/7/15,1
210,Male,32,25 - 45,African-American,0,7,0,0,3,F,Possession of Cocaine,1,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,2/19/14,2/27/14,1
213,Male,31,25 - 45,Caucasian,0,3,0,0,2,M,Resist/Obstruct W/O Violence,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,8/20/13,9/4/13,1
215,Male,31,25 - 45,African-American,0,2,0,0,1,M,Lewdness Violation,1,0,Risk of Recidivism,Low,Risk of Violence,3,Low,1/16/13,1/17/13,0
216,Male,59,Greater than 45,Caucasian,0,2,0,0,1,F,Possession of Cocaine,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,2/26/14,4/22/14,1
218,Female,45,Greater than 45,Caucasian,0,4,0,0,4,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,3,Low,,,0
220,Female,20,Less than 25,African-American,1,10,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,High,Risk of Violence,10,High,3/19/14,3/28/14,0
222,Female,43,25 - 45,Caucasian,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,5/14/13,5/15/13,0
223,Male,38,25 - 45,African-American,1,8,1,0,9,F,Possession of Cocaine,1,0,Risk of Recidivism,High,Risk of Violence,4,Low,8/26/14,8/27/14,1
224,Male,32,25 - 45,African-American,0,6,0,0,11,F,Poss Pyrrolidinovalerophenone,1,1,Risk of Recidivism,Medium,Risk of Violence,5,Medium,1/12/15,2/17/15,1
225,Male,33,25 - 45,African-American,0,5,0,0,8,M,Assault,1,1,Risk of Recidivism,Medium,Risk of Violence,2,Low,7/16/15,7/16/15,1
227,Female,31,25 - 45,African-American,0,3,0,0,0,F,Possession of Oxycodone,1,0,Risk of Recidivism,Low,Risk of Violence,2,Low,1/7/15,2/11/15,1
228,Female,33,25 - 45,African-American,0,9,0,0,7,F,Possession of Cocaine,1,0,Risk of Recidivism,High,Risk of Violence,9,High,10/13/13,11/1/13,1
229,Male,27,25 - 45,African-American,0,9,0,0,2,F,Tampering With Physical Evidence,1,0,Risk of Recidivism,High,Risk of Violence,8,High,5/4/13,5/4/13,1
231,Female,20,Less than 25,African-American,0,6,0,0,0,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Medium,Risk of Violence,8,High,12/7/13,12/7/13,0
232,Female,26,25 - 45,Caucasian,0,6,0,0,0,M,Fail To Obey Police Officer,0,0,Risk of Recidivism,Medium,Risk of Violence,3,Low,1/25/14,1/26/14,0
234,Female,61,Greater than 45,African-American,0,1,0,0,1,F,Solicit Purchase Cocaine,1,0,Risk of Recidivism,Low,Risk of Violence,1,Low,4/26/13,4/27/13,1
235,Male,52,Greater than 45,Other,0,7,0,0,13,F,Felony Petit Theft,1,0,Risk of Recidivism,Medium,Risk of Violence,6,Medium,6/20/13,6/20/13,1
236,Male,63,Greater than 45,Hispanic,0,1,0,0,1,F,arrest case no charge,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,1/10/14,1/25/14,0
238,Female,32,25 - 45,African-American,0,10,0,0,4,F,arrest case no charge,1,1,Risk of Recidivism,High,Risk of Violence,9,High,5/23/15,9/18/15,1
239,Male,29,25 - 45,Hispanic,0,4,0,0,1,F,Grand Theft in the 3rd Degree,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,9/5/13,9/6/13,0
240,Female,46,Greater than 45,Other,0,2,0,0,1,F,Grand Theft in the 1st Degree,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,,,0
241,Female,26,25 - 45,African-American,0,4,0,0,2,M,Driving Under The Influence,1,0,Risk of Recidivism,Low,Risk of Violence,4,Low,3/9/13,3/10/13,1
242,Male,55,Greater than 45,African-American,0,1,0,0,3,M,Battery,0,0,Risk of Recidivism,Low,Risk of Violence,1,Low,5/7/13,5/8/13,0
243,Male,39,25 - 45,Caucasian,1,4,0,0,1,M,,0,0,Risk of Recidivism,Low,Risk of Violence,4,Low,2/10/14,2/14/14,0
